2023-03-31 19:11:49,592 train_batch_size: 512
2023-03-31 19:11:49,592 test_batch_size: 512
2023-03-31 19:11:49,592 lr: 5e-05
2023-03-31 19:11:49,592 num_epochs: 50
2023-03-31 19:11:49,592 max_patience: 1
2023-03-31 19:11:51,065 Found cached dataset cifar10 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar10/plain_text/1.0.0/447d6ec4733dddd1ce3bb577c7166b986eaa4c538dcd9e805ba61f35674a9de4)
2023-03-31 19:11:56,372 Train Epoch: 0
2023-03-31 19:19:45,512 Step 65 - loss: 1.6357526779174805 , train acc: 83.0078125
2023-03-31 19:19:53,811 Step 66 - loss: 1.5783196687698364 , train acc: 82.2265625
2023-03-31 19:20:00,540 Step 67 - loss: 1.5425622463226318 , train acc: 87.890625
2023-03-31 19:20:07,849 Step 68 - loss: 1.486303687095642 , train acc: 88.28125
2023-03-31 19:20:15,085 Step 69 - loss: 1.4952571392059326 , train acc: 84.5703125
2023-03-31 19:20:22,782 Step 70 - loss: 1.4409087896347046 , train acc: 86.71875
2023-03-31 19:20:30,111 Step 71 - loss: 1.4295809268951416 , train acc: 87.3046875
2023-03-31 19:20:37,790 Step 72 - loss: 1.394201397895813 , train acc: 88.671875
2023-03-31 19:20:44,716 Step 73 - loss: 1.3612757921218872 , train acc: 86.5234375
2023-03-31 19:20:51,591 Step 74 - loss: 1.3056540489196777 , train acc: 90.0390625
2023-03-31 19:20:58,632 Step 75 - loss: 1.2739648818969727 , train acc: 88.4765625
2023-03-31 19:21:05,848 Step 76 - loss: 1.265899896621704 , train acc: 89.0625
2023-03-31 19:21:13,205 Step 77 - loss: 1.2765519618988037 , train acc: 87.6953125
2023-03-31 19:21:19,913 Step 78 - loss: 1.2375175952911377 , train acc: 88.28125
2023-03-31 19:21:26,720 Step 79 - loss: 1.1817806959152222 , train acc: 88.0859375
2023-03-31 19:21:33,900 Step 80 - loss: 1.1587549448013306 , train acc: 90.4296875
2023-03-31 19:21:41,358 Step 81 - loss: 1.148006796836853 , train acc: 90.625
2023-03-31 19:21:48,423 Step 82 - loss: 1.1327264308929443 , train acc: 88.28125
2023-03-31 19:21:56,113 Step 83 - loss: 1.1037979125976562 , train acc: 89.453125
2023-03-31 19:22:03,530 Step 84 - loss: 1.0801490545272827 , train acc: 88.8671875
2023-03-31 19:22:10,685 Step 85 - loss: 1.0455296039581299 , train acc: 90.4296875
2023-03-31 19:22:17,586 Step 86 - loss: 1.0507707595825195 , train acc: 89.0625
2023-03-31 19:22:24,098 Step 87 - loss: 1.02280592918396 , train acc: 90.625
2023-03-31 19:22:31,232 Step 88 - loss: 0.9996377825737 , train acc: 90.234375
2023-03-31 19:22:39,067 Step 89 - loss: 1.0215879678726196 , train acc: 89.0625
2023-03-31 19:22:45,977 Step 90 - loss: 0.9975835084915161 , train acc: 89.6484375
2023-03-31 19:22:53,106 Step 91 - loss: 0.9790271520614624 , train acc: 89.0625
2023-03-31 19:23:00,083 Step 92 - loss: 0.9541357755661011 , train acc: 89.453125
2023-03-31 19:23:06,791 Step 93 - loss: 0.959428071975708 , train acc: 89.84375
2023-03-31 19:23:13,543 Step 94 - loss: 0.9632076025009155 , train acc: 91.015625
2023-03-31 19:23:19,416 Step 95 - loss: 0.9005126953125 , train acc: 89.84375
2023-03-31 19:23:25,256 Step 96 - loss: 0.8765480518341064 , train acc: 89.453125
2023-03-31 19:23:29,305 Step 97 - loss: 0.8271216750144958 , train acc: 92.26190476190476
2023-03-31 19:23:29,339 Evaluate Epoch: 0
2023-03-31 19:25:25,483 Correct: 8982 / Total: 10000
2023-03-31 19:25:25,483 Average val loss: 0.8880340456962585
2023-03-31 19:25:25,483 Average val acc: 89.82
2023-03-31 19:25:25,851 Best test acc: 89.82
2023-03-31 19:25:25,852 Best model saved at ./checkpoints/ViLT_cifar10_no_text_0.pt
2023-03-31 19:25:25,852 Train Epoch: 1
2023-03-31 19:25:31,144 Step 98 - loss: 0.8645445704460144 , train acc: 91.40625
2023-03-31 19:25:36,454 Step 99 - loss: 0.8429339528083801 , train acc: 91.6015625
2023-03-31 19:25:41,632 Step 100 - loss: 0.8704721331596375 , train acc: 89.453125
2023-03-31 19:25:46,931 Step 101 - loss: 0.8819212913513184 , train acc: 88.0859375
2023-03-31 19:25:52,047 Step 102 - loss: 0.853140115737915 , train acc: 91.6015625
2023-03-31 19:25:57,156 Step 103 - loss: 0.8417829871177673 , train acc: 90.234375
2023-03-31 19:26:02,435 Step 104 - loss: 0.815354585647583 , train acc: 89.84375
2023-03-31 19:26:07,573 Step 105 - loss: 0.795517086982727 , train acc: 91.2109375
2023-03-31 19:26:12,882 Step 106 - loss: 0.7412197589874268 , train acc: 92.578125
2023-03-31 19:26:17,971 Step 107 - loss: 0.7107664346694946 , train acc: 90.234375
2023-03-31 19:26:23,692 Step 108 - loss: 0.8256543278694153 , train acc: 88.8671875
2023-03-31 19:26:29,126 Step 109 - loss: 0.7264478206634521 , train acc: 92.3828125
2023-03-31 19:26:34,236 Step 110 - loss: 0.7686358094215393 , train acc: 90.4296875
2023-03-31 19:26:39,373 Step 111 - loss: 0.7252112030982971 , train acc: 91.796875
2023-03-31 19:26:44,612 Step 112 - loss: 0.8264936208724976 , train acc: 87.109375
2023-03-31 19:26:50,105 Step 113 - loss: 0.677681028842926 , train acc: 92.1875
2023-03-31 19:26:55,261 Step 114 - loss: 0.7024414539337158 , train acc: 90.625
2023-03-31 19:27:00,566 Step 115 - loss: 0.6991603970527649 , train acc: 90.8203125
2023-03-31 19:27:05,715 Step 116 - loss: 0.7037600874900818 , train acc: 90.8203125
2023-03-31 19:27:11,212 Step 117 - loss: 0.7561420202255249 , train acc: 90.4296875
2023-03-31 19:27:16,673 Step 118 - loss: 0.6321033239364624 , train acc: 91.9921875
2023-03-31 19:27:21,841 Step 119 - loss: 0.6598237156867981 , train acc: 91.2109375
2023-03-31 19:27:27,198 Step 120 - loss: 0.7657387256622314 , train acc: 89.2578125
2023-03-31 19:27:32,457 Step 121 - loss: 0.6401389241218567 , train acc: 92.7734375
2023-03-31 19:27:37,754 Step 122 - loss: 0.6279378533363342 , train acc: 91.2109375
2023-03-31 19:27:42,795 Step 123 - loss: 0.6691266298294067 , train acc: 91.015625
2023-03-31 19:27:47,992 Step 124 - loss: 0.7148920297622681 , train acc: 89.6484375
2023-03-31 19:27:53,307 Step 125 - loss: 0.6696670651435852 , train acc: 91.796875
2023-03-31 19:27:58,430 Step 126 - loss: 0.7026482820510864 , train acc: 91.40625
2023-03-31 19:28:03,792 Step 127 - loss: 0.662284255027771 , train acc: 89.2578125
2023-03-31 19:28:09,075 Step 128 - loss: 0.5827157497406006 , train acc: 93.359375
2023-03-31 19:28:14,563 Step 129 - loss: 0.5632849931716919 , train acc: 94.7265625
2023-03-31 19:28:19,651 Step 130 - loss: 0.6420851945877075 , train acc: 90.625
2023-03-31 19:28:24,863 Step 131 - loss: 0.6363004446029663 , train acc: 91.9921875
2023-03-31 19:28:29,997 Step 132 - loss: 0.5952986478805542 , train acc: 93.9453125
2023-03-31 19:28:35,257 Step 133 - loss: 0.6134353876113892 , train acc: 91.015625
2023-03-31 19:28:40,356 Step 134 - loss: 0.6004846692085266 , train acc: 91.796875
2023-03-31 19:28:45,679 Step 135 - loss: 0.6530371904373169 , train acc: 91.6015625
2023-03-31 19:28:50,872 Step 136 - loss: 0.587952196598053 , train acc: 94.3359375
2023-03-31 19:28:56,020 Step 137 - loss: 0.5839992165565491 , train acc: 92.96875
2023-03-31 19:29:01,089 Step 138 - loss: 0.5798712968826294 , train acc: 91.9921875
2023-03-31 19:29:06,285 Step 139 - loss: 0.6183401346206665 , train acc: 90.4296875
2023-03-31 19:29:11,519 Step 140 - loss: 0.7115843296051025 , train acc: 89.453125
2023-03-31 19:29:16,573 Step 141 - loss: 0.5269016623497009 , train acc: 93.75
2023-03-31 19:29:21,992 Step 142 - loss: 0.5732846260070801 , train acc: 91.796875
2023-03-31 19:29:27,069 Step 143 - loss: 0.6201133131980896 , train acc: 92.3828125
2023-03-31 19:29:32,287 Step 144 - loss: 0.5938552618026733 , train acc: 90.4296875
2023-03-31 19:29:37,408 Step 145 - loss: 0.6547600030899048 , train acc: 90.625
2023-03-31 19:29:42,499 Step 146 - loss: 0.5928769111633301 , train acc: 92.96875
2023-03-31 19:29:47,614 Step 147 - loss: 0.5454323291778564 , train acc: 91.9921875
2023-03-31 19:29:52,903 Step 148 - loss: 0.6114683151245117 , train acc: 92.1875
2023-03-31 19:29:58,101 Step 149 - loss: 0.6343173980712891 , train acc: 90.234375
2023-03-31 19:30:03,651 Step 150 - loss: 0.6083993911743164 , train acc: 91.6015625
2023-03-31 19:30:08,713 Step 151 - loss: 0.52821284532547 , train acc: 93.9453125
2023-03-31 19:30:13,895 Step 152 - loss: 0.5600758790969849 , train acc: 92.7734375
2023-03-31 19:30:18,973 Step 153 - loss: 0.608148992061615 , train acc: 91.2109375
2023-03-31 19:30:24,372 Step 154 - loss: 0.6068507432937622 , train acc: 92.3828125
2023-03-31 19:30:29,676 Step 155 - loss: 0.5252997875213623 , train acc: 91.6015625
2023-03-31 19:30:34,770 Step 156 - loss: 0.5174097418785095 , train acc: 93.359375
2023-03-31 19:30:40,157 Step 157 - loss: 0.5593572854995728 , train acc: 91.796875
2023-03-31 19:30:45,305 Step 158 - loss: 0.571570634841919 , train acc: 91.6015625
2023-03-31 19:30:50,488 Step 159 - loss: 0.5333268642425537 , train acc: 92.578125
2023-03-31 19:30:56,231 Step 160 - loss: 0.5230847597122192 , train acc: 92.3828125
2023-03-31 19:31:01,372 Step 161 - loss: 0.531908392906189 , train acc: 92.96875
2023-03-31 19:31:06,708 Step 162 - loss: 0.4989277124404907 , train acc: 92.96875
2023-03-31 19:31:11,989 Step 163 - loss: 0.4860733151435852 , train acc: 92.7734375
2023-03-31 19:31:17,213 Step 164 - loss: 0.5101097822189331 , train acc: 93.5546875
2023-03-31 19:31:22,404 Step 165 - loss: 0.537022590637207 , train acc: 91.796875
2023-03-31 19:31:28,060 Step 166 - loss: 0.569716215133667 , train acc: 91.2109375
2023-03-31 19:31:33,128 Step 167 - loss: 0.48569855093955994 , train acc: 94.3359375
2023-03-31 19:31:38,428 Step 168 - loss: 0.442094624042511 , train acc: 95.3125
2023-03-31 19:31:43,695 Step 169 - loss: 0.5186939835548401 , train acc: 91.40625
2023-03-31 19:31:48,956 Step 170 - loss: 0.6097619533538818 , train acc: 91.015625
2023-03-31 19:31:54,094 Step 171 - loss: 0.43672633171081543 , train acc: 95.3125
2023-03-31 19:31:59,386 Step 172 - loss: 0.5095072388648987 , train acc: 92.7734375
2023-03-31 19:32:04,740 Step 173 - loss: 0.4525222182273865 , train acc: 94.140625
2023-03-31 19:32:10,209 Step 174 - loss: 0.48520714044570923 , train acc: 93.75
2023-03-31 19:32:15,556 Step 175 - loss: 0.3873078525066376 , train acc: 95.5078125
2023-03-31 19:32:21,037 Step 176 - loss: 0.4617249667644501 , train acc: 94.53125
2023-03-31 19:32:26,202 Step 177 - loss: 0.46129047870635986 , train acc: 93.5546875
2023-03-31 19:32:31,620 Step 178 - loss: 0.5251625776290894 , train acc: 92.7734375
2023-03-31 19:32:36,882 Step 179 - loss: 0.601750910282135 , train acc: 90.8203125
2023-03-31 19:32:42,086 Step 180 - loss: 0.5820500254631042 , train acc: 91.796875
2023-03-31 19:32:47,615 Step 181 - loss: 0.52483069896698 , train acc: 91.015625
2023-03-31 19:32:52,864 Step 182 - loss: 0.46550434827804565 , train acc: 93.9453125
2023-03-31 19:32:58,372 Step 183 - loss: 0.4381127953529358 , train acc: 93.5546875
2023-03-31 19:33:03,589 Step 184 - loss: 0.563765287399292 , train acc: 90.8203125
2023-03-31 19:33:08,799 Step 185 - loss: 0.5383628606796265 , train acc: 91.40625
2023-03-31 19:33:14,068 Step 186 - loss: 0.5377805829048157 , train acc: 92.7734375
2023-03-31 19:33:19,295 Step 187 - loss: 0.4840264916419983 , train acc: 93.5546875
2023-03-31 19:33:24,813 Step 188 - loss: 0.5521671175956726 , train acc: 92.1875
2023-03-31 19:33:29,914 Step 189 - loss: 0.535759687423706 , train acc: 91.9921875
2023-03-31 19:33:35,142 Step 190 - loss: 0.5445062518119812 , train acc: 91.40625
2023-03-31 19:33:40,409 Step 191 - loss: 0.5232386589050293 , train acc: 91.2109375
2023-03-31 19:33:46,005 Step 192 - loss: 0.533459484577179 , train acc: 93.359375
2023-03-31 19:33:51,483 Step 193 - loss: 0.5054617524147034 , train acc: 92.578125
2023-03-31 19:33:56,794 Step 194 - loss: 0.44986796379089355 , train acc: 92.96875
2023-03-31 19:34:00,021 Step 195 - loss: 0.605802595615387 , train acc: 90.17857142857143
2023-03-31 19:34:00,054 Evaluate Epoch: 1
2023-03-31 19:35:43,917 Correct: 9221 / Total: 10000
2023-03-31 19:35:43,917 Average val loss: 0.502583384513855
2023-03-31 19:35:43,917 Average val acc: 92.21
2023-03-31 19:35:44,324 Best test acc: 92.21
2023-03-31 19:35:44,324 Best model saved at ./checkpoints/ViLT_cifar10_no_text_1.pt
2023-03-31 19:35:44,325 Train Epoch: 2
2023-03-31 19:35:49,518 Step 196 - loss: 0.3967013657093048 , train acc: 94.53125
2023-03-31 19:35:54,886 Step 197 - loss: 0.5188525915145874 , train acc: 91.2109375
2023-03-31 19:36:00,082 Step 198 - loss: 0.5224512815475464 , train acc: 91.40625
2023-03-31 19:36:05,363 Step 199 - loss: 0.43775564432144165 , train acc: 95.1171875
2023-03-31 19:36:10,849 Step 200 - loss: 0.45864519476890564 , train acc: 93.359375
2023-03-31 19:36:16,025 Step 201 - loss: 0.4642801284790039 , train acc: 94.140625
2023-03-31 19:36:21,207 Step 202 - loss: 0.49675241112709045 , train acc: 92.96875
2023-03-31 19:36:26,319 Step 203 - loss: 0.3836694359779358 , train acc: 95.3125
