2023-04-12 19:24:09,408 train_batch_size: 64
2023-04-12 19:24:09,408 test_batch_size: 64
2023-04-12 19:24:09,408 lr: 5e-05
2023-04-12 19:24:09,408 num_epochs: 50
2023-04-12 19:24:09,408 max_patience: 1
2023-04-12 19:24:10,264 Found cached dataset cifar10 (/home/dongwon/adapt-VL-models-to-vision-only-tasks/./cache/cifar10/plain_text/1.0.0/447d6ec4733dddd1ce3bb577c7166b986eaa4c538dcd9e805ba61f35674a9de4)
2023-04-12 19:24:14,651 URL https://download.pytorch.org/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt cached in /home/dongwon/.torch/iopath_cache/models/multimodal/flava/flava_for_pretraining_unified_text_encoder.pt
2023-04-12 19:24:16,505 Train Epoch: 0
2023-04-12 19:25:29,972 Step 64 - loss: 2.2298696041107178 , train acc: 48.4375
2023-04-12 19:25:30,961 Step 65 - loss: 2.21521258354187 , train acc: 57.8125
2023-04-12 19:25:31,946 Step 66 - loss: 2.2321648597717285 , train acc: 48.4375
2023-04-12 19:25:33,009 Step 67 - loss: 2.2149853706359863 , train acc: 53.125
2023-04-12 19:25:34,074 Step 68 - loss: 2.2293248176574707 , train acc: 45.3125
2023-04-12 19:25:35,081 Step 69 - loss: 2.217918872833252 , train acc: 56.25
2023-04-12 19:25:36,167 Step 70 - loss: 2.224858283996582 , train acc: 46.875
2023-04-12 19:25:37,205 Step 71 - loss: 2.2107434272766113 , train acc: 53.125
2023-04-12 19:25:38,219 Step 72 - loss: 2.2342453002929688 , train acc: 40.625
2023-04-12 19:25:39,218 Step 73 - loss: 2.2228076457977295 , train acc: 48.4375
2023-04-12 19:25:40,233 Step 74 - loss: 2.2024946212768555 , train acc: 67.1875
2023-04-12 19:25:41,252 Step 75 - loss: 2.207859516143799 , train acc: 57.8125
2023-04-12 19:25:42,299 Step 76 - loss: 2.232111692428589 , train acc: 42.1875
2023-04-12 19:25:43,378 Step 77 - loss: 2.2098398208618164 , train acc: 53.125
2023-04-12 19:25:44,435 Step 78 - loss: 2.2176332473754883 , train acc: 42.1875
2023-04-12 19:25:45,497 Step 79 - loss: 2.2189712524414062 , train acc: 50.0
2023-04-12 19:25:46,609 Step 80 - loss: 2.2083024978637695 , train acc: 57.8125
2023-04-12 19:25:47,773 Step 81 - loss: 2.2005271911621094 , train acc: 56.25
2023-04-12 19:25:48,834 Step 82 - loss: 2.205104351043701 , train acc: 59.375
2023-04-12 19:25:49,892 Step 83 - loss: 2.2025718688964844 , train acc: 57.8125
2023-04-12 19:25:50,933 Step 84 - loss: 2.2120304107666016 , train acc: 57.8125
2023-04-12 19:25:52,046 Step 85 - loss: 2.2180070877075195 , train acc: 48.4375
2023-04-12 19:25:53,121 Step 86 - loss: 2.2012290954589844 , train acc: 57.8125
2023-04-12 19:25:54,232 Step 87 - loss: 2.2058322429656982 , train acc: 64.0625
2023-04-12 19:25:55,293 Step 88 - loss: 2.191153049468994 , train acc: 65.625
2023-04-12 19:25:56,359 Step 89 - loss: 2.2011518478393555 , train acc: 57.8125
2023-04-12 19:25:57,424 Step 90 - loss: 2.196159839630127 , train acc: 59.375
2023-04-12 19:25:58,498 Step 91 - loss: 2.1823313236236572 , train acc: 73.4375
2023-04-12 19:25:59,557 Step 92 - loss: 2.204098701477051 , train acc: 50.0
2023-04-12 19:26:00,691 Step 93 - loss: 2.189208507537842 , train acc: 71.875
2023-04-12 19:26:01,689 Step 94 - loss: 2.1950011253356934 , train acc: 67.1875
2023-04-12 19:26:02,657 Step 95 - loss: 2.1901967525482178 , train acc: 64.0625
2023-04-12 19:26:03,733 Step 96 - loss: 2.1742141246795654 , train acc: 73.4375
2023-04-12 19:26:04,785 Step 97 - loss: 2.1799612045288086 , train acc: 60.9375
2023-04-12 19:26:05,942 Step 98 - loss: 2.180537700653076 , train acc: 71.875
2023-04-12 19:26:07,057 Step 99 - loss: 2.179201602935791 , train acc: 79.6875
2023-04-12 19:26:08,169 Step 100 - loss: 2.1897120475769043 , train acc: 71.875
2023-04-12 19:26:09,230 Step 101 - loss: 2.167187213897705 , train acc: 73.4375
2023-04-12 19:26:10,299 Step 102 - loss: 2.170893907546997 , train acc: 76.5625
2023-04-12 19:26:11,384 Step 103 - loss: 2.1796061992645264 , train acc: 70.3125
2023-04-12 19:26:12,478 Step 104 - loss: 2.1741456985473633 , train acc: 67.1875
2023-04-12 19:26:13,568 Step 105 - loss: 2.1919872760772705 , train acc: 73.4375
2023-04-12 19:26:14,768 Step 106 - loss: 2.1593027114868164 , train acc: 71.875
2023-04-12 19:26:15,838 Step 107 - loss: 2.1756033897399902 , train acc: 64.0625
2023-04-12 19:26:16,906 Step 108 - loss: 2.156759262084961 , train acc: 70.3125
2023-04-12 19:26:17,962 Step 109 - loss: 2.1676244735717773 , train acc: 71.875
2023-04-12 19:26:19,024 Step 110 - loss: 2.1667606830596924 , train acc: 65.625
2023-04-12 19:26:20,088 Step 111 - loss: 2.162742853164673 , train acc: 71.875
2023-04-12 19:26:21,148 Step 112 - loss: 2.1686549186706543 , train acc: 68.75
2023-04-12 19:26:22,211 Step 113 - loss: 2.1563353538513184 , train acc: 73.4375
2023-04-12 19:26:23,262 Step 114 - loss: 2.1556308269500732 , train acc: 68.75
2023-04-12 19:26:24,283 Step 115 - loss: 2.1566414833068848 , train acc: 70.3125
2023-04-12 19:26:25,360 Step 116 - loss: 2.1447229385375977 , train acc: 75.0
2023-04-12 19:26:26,358 Step 117 - loss: 2.151174545288086 , train acc: 73.4375
2023-04-12 19:26:27,397 Step 118 - loss: 2.1555421352386475 , train acc: 75.0
2023-04-12 19:26:28,424 Step 119 - loss: 2.1480507850646973 , train acc: 79.6875
2023-04-12 19:26:29,494 Step 120 - loss: 2.1440935134887695 , train acc: 76.5625
2023-04-12 19:26:30,549 Step 121 - loss: 2.147951126098633 , train acc: 71.875
2023-04-12 19:26:31,623 Step 122 - loss: 2.1411337852478027 , train acc: 70.3125
