Epoch 1/30, Loss: 4.5238, Training Acc: 0.0205, Validation Accuracy: 0.0453
Epoch 2/30, Loss: 4.0555, Training Acc: 0.0679, Validation Accuracy: 0.0991
Epoch 3/30, Loss: 3.8573, Training Acc: 0.0965, Validation Accuracy: 0.1404
Epoch 4/30, Loss: 3.7650, Training Acc: 0.1110, Validation Accuracy: 0.1558
Epoch 5/30, Loss: 3.6938, Training Acc: 0.1208, Validation Accuracy: 0.1695
Epoch 6/30, Loss: 3.6588, Training Acc: 0.1288, Validation Accuracy: 0.1838
Epoch 7/30, Loss: 3.6270, Training Acc: 0.1345, Validation Accuracy: 0.1896
Epoch 8/30, Loss: 3.5922, Training Acc: 0.1414, Validation Accuracy: 0.1820
Epoch 9/30, Loss: 3.5734, Training Acc: 0.1456, Validation Accuracy: 0.1921
Epoch 10/30, Loss: 3.5475, Training Acc: 0.1479, Validation Accuracy: 0.2095
Epoch 11/30, Loss: 3.4557, Training Acc: 0.1667, Validation Accuracy: 0.2151
Epoch 12/30, Loss: 3.4336, Training Acc: 0.1709, Validation Accuracy: 0.2362
Epoch 13/30, Loss: 3.4245, Training Acc: 0.1711, Validation Accuracy: 0.2388
Epoch 14/30, Loss: 3.4219, Training Acc: 0.1715, Validation Accuracy: 0.2348
Epoch 15/30, Loss: 3.4128, Training Acc: 0.1715, Validation Accuracy: 0.2450
Epoch 16/30, Loss: 3.4091, Training Acc: 0.1734, Validation Accuracy: 0.2334
Epoch 17/30, Loss: 3.3927, Training Acc: 0.1753, Validation Accuracy: 0.2434
Epoch 18/30, Loss: 3.3930, Training Acc: 0.1767, Validation Accuracy: 0.2346
Epoch 19/30, Loss: 3.3929, Training Acc: 0.1757, Validation Accuracy: 0.2440
Epoch 20/30, Loss: 3.3736, Training Acc: 0.1789, Validation Accuracy: 0.2498
Epoch 21/30, Loss: 3.3487, Training Acc: 0.1849, Validation Accuracy: 0.2528
Epoch 22/30, Loss: 3.3391, Training Acc: 0.1881, Validation Accuracy: 0.2574
Epoch 23/30, Loss: 3.3419, Training Acc: 0.1857, Validation Accuracy: 0.2565
Epoch 24/30, Loss: 3.3373, Training Acc: 0.1872, Validation Accuracy: 0.2593
Epoch 25/30, Loss: 3.3374, Training Acc: 0.1851, Validation Accuracy: 0.2557
Epoch 26/30, Loss: 3.3412, Training Acc: 0.1877, Validation Accuracy: 0.2588
Epoch 27/30, Loss: 3.3358, Training Acc: 0.1869, Validation Accuracy: 0.2589
Epoch 28/30, Loss: 3.3338, Training Acc: 0.1851, Validation Accuracy: 0.2560
Epoch 29/30, Loss: 3.3278, Training Acc: 0.1896, Validation Accuracy: 0.2642
Epoch 30/30, Loss: 3.3269, Training Acc: 0.1881, Validation Accuracy: 0.2612
