Batch 202, Loss: 2.2221
Batch 203, Loss: 2.1845
Batch 204, Loss: 2.1833
Batch 205, Loss: 2.2085
Batch 206, Loss: 2.2192
Batch 207, Loss: 2.1808
Batch 208, Loss: 2.2098
Batch 209, Loss: 2.2170
Batch 210, Loss: 2.1662
Batch 211, Loss: 2.1904
Batch 212, Loss: 2.1420
Batch 213, Loss: 2.1405
Batch 214, Loss: 2.1629
Batch 215, Loss: 2.1602
Batch 216, Loss: 2.1568
Batch 217, Loss: 2.1796
Batch 218, Loss: 2.1662
Batch 219, Loss: 2.1639
Batch 220, Loss: 2.1701
Batch 221, Loss: 2.1332
Batch 222, Loss: 2.1273
Batch 223, Loss: 2.1214
Batch 224, Loss: 2.1651
Batch 225, Loss: 2.1752
Batch 226, Loss: 2.1601
Batch 227, Loss: 2.1663
Batch 228, Loss: 2.1696
Batch 229, Loss: 2.0956
Batch 230, Loss: 2.1565
Batch 231, Loss: 2.1678
Batch 232, Loss: 2.1238
Batch 233, Loss: 2.1926
Batch 234, Loss: 2.1441
Batch 235, Loss: 2.1072
Batch 236, Loss: 2.1676
Batch 237, Loss: 2.1508
Batch 238, Loss: 2.1189
Batch 239, Loss: 2.1048
Batch 240, Loss: 2.0699
Batch 241, Loss: 2.1407
Batch 242, Loss: 2.1600
Batch 243, Loss: 2.1167
Batch 244, Loss: 2.1136
Batch 245, Loss: 2.1317
Batch 246, Loss: 2.1014
Batch 247, Loss: 2.1377
Batch 248, Loss: 2.0840
Batch 249, Loss: 2.0876
Batch 250, Loss: 2.0916
Batch 251, Loss: 2.0895
Batch 252, Loss: 2.1157
Batch 253, Loss: 2.0981
Batch 254, Loss: 2.1150
Batch 255, Loss: 2.0356
Batch 256, Loss: 2.0769
Batch 257, Loss: 2.0979
Batch 258, Loss: 2.0941
Batch 259, Loss: 2.0715
Batch 260, Loss: 2.0638
Batch 261, Loss: 2.1266
Batch 262, Loss: 2.1254
Batch 263, Loss: 2.0868
Batch 264, Loss: 2.0875
Batch 265, Loss: 2.0729
Batch 266, Loss: 2.0590
Batch 267, Loss: 2.0517
Batch 268, Loss: 2.0587
Batch 269, Loss: 2.0625
Batch 270, Loss: 2.0518
Batch 271, Loss: 2.0764
Batch 272, Loss: 2.0639
Batch 273, Loss: 2.0679
Batch 274, Loss: 2.0790
Batch 275, Loss: 2.0422
Batch 276, Loss: 2.1015
Batch 277, Loss: 2.0612
Batch 278, Loss: 2.0805
Batch 279, Loss: 2.0769
Batch 280, Loss: 2.0584
Batch 281, Loss: 2.0648
Batch 282, Loss: 2.0341
Batch 283, Loss: 2.0968
